date,country,province,city,confirmed,suspected,cured,dead
2020-01-23,中国,广西壮族自治区,北海市,6,0.0,0,0
2020-01-23,中国,广西壮族自治区,百色市,1,0.0,0,0
2020-01-23,中国,广西壮族自治区,河池市,1,0.0,0,0
2020-01-23,中国,新疆维吾尔自治区,乌鲁木齐市,2,0.0,0,0
2020-01-23,中国,江苏省,南京市,3,0.0,0,0
2020-01-23,中国,江苏省,无锡市,1,0.0,0,0
2020-01-23,中国,江苏省,苏州市,2,0.0,0,0
2020-01-23,中国,江苏省,南通市,1,0.0,0,0
2020-01-23,中国,江苏省,连云港市,1,0.0,0,0
2020-01-23,中国,江苏省,扬州市,1,0.0,0,0
2020-01-23,中国,江西省,南昌市,2,0.0,0,0
2020-01-23,中国,江西省,萍乡市,1,0.0,0,0
2020-01-23,中国,江西省,九江市,1,0.0,0,0
2020-01-23,中国,江西省,新余市,1,0.0,0,0
2020-01-23,中国,江西省,吉安市,1,0.0,0,0
2020-01-23,中国,江西省,抚州市,1,0.0,0,0
2020-01-23,中国,河北省,石家庄市,1,0.0,0,0
2020-01-23,中国,河北省,沧州市,1,0.0,0,1
2020-01-23,中国,河南省,郑州市,3,0.0,0,0
2020-01-23,中国,河南省,巩义市,2,0.0,0,0
2020-01-23,中国,河南省,洛阳市,1,0.0,0,0
2020-01-23,中国,河南省,三门峡市,1,0.0,0,0
2020-01-23,中国,河南省,信阳市,1,0.0,0,0
2020-01-23,中国,河南省,周口市,1,0.0,0,0
2020-01-23,中国,浙江省,杭州市,6,0.0,0,0
2020-01-23,中国,浙江省,宁波市,5,0.0,0,0
2020-01-23,中国,浙江省,温州市,1,0.0,1,0
2020-01-23,中国,浙江省,嘉兴市,1,0.0,0,0
2020-01-23,中国,浙江省,绍兴市,1,0.0,0,0
2020-01-23,中国,浙江省,金华市,1,0.0,0,0
2020-01-23,中国,浙江省,衢州市,2,0.0,0,0
2020-01-23,中国,浙江省,舟山市,1,0.0,0,0
2020-01-23,中国,浙江省,台州市,4,0.0,0,0
2020-01-23,中国,海南省,海口市,3,0.0,0,0
2020-01-23,中国,海南省,三亚市,2,0.0,0,0
2020-01-23,中国,海南省,万宁市,2,0.0,0,0
2020-01-23,中国,海南省,临高县,1,0.0,0,0
2020-01-23,中国,湖北,武汉,495,0.0,31,23
2020-01-23,中国,湖北,荆门,8,0.0,0,0
2020-01-23,中国,湖北,荆州,8,0.0,0,0
2020-01-23,中国,湖北,孝感,22,0.0,0,0
2020-01-23,中国,湖北,仙桃,2,0.0,0,0
2020-01-23,中国,湖北,宜昌,1,0.0,0,1
2020-01-23,中国,湖北,十堰,1,0.0,0,0
2020-01-23,中国,湖北,黄冈,12,0.0,0,0
2020-01-23,中国,湖南省,长沙市,8,0.0,0,0
2020-01-23,中国,湖南省,株洲市,1,0.0,0,0
2020-01-23,中国,湖南省,湘潭市,1,0.0,0,0
2020-01-23,中国,湖南省,岳阳市,3,0.0,0,0
2020-01-23,中国,湖南省,郴州市,1,0.0,0,0
2020-01-23,中国,湖南省,永州市,4,0.0,0,0
2020-01-23,中国,湖南省,怀化市,3,0.0,0,0
2020-01-23,中国,湖南省,娄底市,3,0.0,0,0
2020-01-23,中国,甘肃省,兰州市,1,0.0,0,0
2020-01-23,中国,福建省,福州市,1,0.0,0,0
2020-01-23,中国,福建省,厦门市,1,0.0,0,0
2020-01-23,中国,福建省,泉州市,1,0.0,0,0
2020-01-23,中国,福建省,宁德市,1,0.0,0,0
2020-01-23,中国,贵州省,贵阳市,1,0.0,0,0
2020-01-23,中国,贵州省,铜仁市,1,0.0,0,0
2020-01-23,中国,贵州省,黔南布依族苗族自治州,1,0.0,0,0
2020-01-23,中国,辽宁省,沈阳市,2,0.0,0,0
2020-01-23,中国,辽宁省,大连市,1,0.0,0,0
2020-01-23,中国,辽宁省,朝阳市,1,0.0,0,0
2020-01-23,中国,重庆市,两江新区,1,0.0,0,0
2020-01-23,中国,重庆市,万州区,3,0.0,0,0
2020-01-23,中国,重庆市,涪陵区,1,0.0,0,0
2020-01-23,中国,重庆市,大渡口区,1,0.0,0,0
2020-01-23,中国,重庆市,九龙坡区,2,0.0,0,0
2020-01-23,中国,重庆市,渝北区,2,0.0,0,0
2020-01-23,中国,重庆市,长寿区,3,0.0,0,0
2020-01-23,中国,重庆市,永川区,2,0.0,0,0
2020-01-23,中国,重庆市,开州区,2,0.0,0,0
2020-01-23,中国,重庆市,垫江县,2,0.0,0,0
2020-01-23,中国,重庆市,忠县,1,0.0,0,0
2020-01-23,中国,重庆市,云阳县,1,0.0,0,0
2020-01-23,中国,重庆市,奉节县,1,0.0,0,0
2020-01-23,中国,重庆市,巫山县,3,0.0,0,0
2020-01-23,中国,重庆市,巫溪县,1,0.0,0,0
2020-01-23,中国,重庆市,秀山土家族苗族自治县,1,0.0,0,0
2020-01-23,中国,陕西省,西安市,2,0.0,0,0
2020-01-23,中国,陕西省,咸阳市,1,0.0,0,0
2020-01-23,中国,陕西省,延安市,1,0.0,0,0
2020-01-23,中国,陕西省,安康市,1,0.0,0,0
2020-01-23,中国,黑龙江省,哈尔滨市,1,0.0,0,0
2020-01-23,中国,黑龙江省,大庆市,1,0.0,0,0
2020-01-23,中国,黑龙江省,牡丹江市,1,0.0,0,0
2020-01-23,中国,黑龙江省,绥化市,1,0.0,0,1
2020-01-24,中国,内蒙古自治区,鄂尔多斯市,0,2.0,0,0
2020-01-24,中国,山东省,济南市,2,2.0,0,0
2020-01-24,中国,山东省,济宁市,2,2.0,0,0
2020-01-24,中国,山东省,威海市,3,2.0,0,0
2020-01-24,中国,福建省,厦门市,3,2.0,0,0
2020-01-24,中国,内蒙古自治区,赤峰市,0,1.0,0,0
2020-01-24,中国,内蒙古自治区,呼伦贝尔市,1,1.0,0,0
2020-01-24,中国,内蒙古自治区,锡林郭勒盟,1,1.0,0,0
2020-01-24,中国,山东省,青岛市,4,1.0,0,0
2020-01-24,中国,山东省,潍坊市,1,1.0,0,0
2020-01-24,中国,山东省,临沂市,3,1.0,0,0
2020-01-24,中国,山东省,滨州市,0,1.0,0,0
2020-01-24,中国,山东省,菏泽市,0,1.0,0,0
2020-01-24,中国,福建省,三明市,0,1.0,0,0
2020-01-24,中国,福建省,漳州市,0,1.0,0,0
2020-01-24,中国,青海省,西宁市,0,1.0,0,0
2020-01-24,中国,云南省,昆明市,3,0.0,0,0
2020-01-24,中国,云南省,丽江市,1,0.0,0,0
2020-01-24,中国,云南省,西双版纳傣族自治州,1,0.0,0,0
2020-01-24,中国,北京市,外地来京,10,0.0,0,0
2020-01-24,中国,北京市,西城区,4,0.0,0,0
2020-01-24,中国,北京市,朝阳区,5,0.0,0,0
2020-01-24,中国,北京市,丰台区,2,0.0,0,0
2020-01-24,中国,北京市,石景山区,1,0.0,0,0
2020-01-24,中国,北京市,海淀区,6,0.0,0,0
2020-01-24,中国,北京市,通州区,2,0.0,0,0
2020-01-24,中国,北京市,顺义区,1,0.0,0,0
2020-01-24,中国,北京市,昌平区,3,0.0,0,0
2020-01-24,中国,北京市,大兴区,2,0.0,0,0
2020-01-24,中国,吉林省,长春市,1,0.0,0,0
2020-01-24,中国,吉林省,吉林市,2,0.0,0,0
2020-01-24,中国,吉林省,松原市,1,0.0,0,0
2020-01-24,中国,四川省,成都市,16,0.0,0,0
2020-01-24,中国,四川省,自贡市,1,0.0,0,0
2020-01-24,中国,四川省,泸州市,1,0.0,0,0
2020-01-24,中国,四川省,德阳市,1,0.0,0,0
2020-01-24,中国,四川省,绵阳市,2,0.0,0,0
2020-01-24,中国,四川省,遂宁市,2,0.0,0,0
2020-01-24,中国,四川省,内江市,1,0.0,0,0
2020-01-24,中国,四川省,广安市,2,0.0,0,0
