,date,country,province,city,confirmed,suspected,cured,dead
281,2020-02-07,德国,,,13,0,0,0
282,2020-02-07,比利时,,,1,0,0,0
283,2020-02-07,澳大利亚,,,15,0,3,0
284,2020-02-07,阿联酋,,,5,0,0,0
285,2020-02-07,日本,,,25,0,1,0
286,2020-02-08,中国,,,37162,28942,2651,812
287,2020-02-08,越南,,,13,0,3,0
288,2020-02-08,英国,,,3,0,0,0
289,2020-02-08,印度,,,3,0,0,0
290,2020-02-08,意大利,,,3,0,0,0
291,2020-02-08,新加坡,,,33,0,2,0
292,2020-02-08,西班牙,,,1,0,0,0
293,2020-02-08,泰国,,,32,0,8,0
294,2020-02-08,斯里兰卡,,,1,0,1,0
295,2020-02-08,瑞典,,,1,0,0,0
296,2020-02-08,尼泊尔,,,1,0,0,0
297,2020-02-08,美国,,,12,0,3,0
298,2020-02-08,马来西亚,,,16,0,2,0
299,2020-02-08,柬埔寨,,,1,0,0,0
300,2020-02-08,加拿大,,,5,0,1,0
301,2020-02-08,韩国,,,24,0,2,0
302,2020-02-08,芬兰,,,1,0,1,0
303,2020-02-08,菲律宾,,,3,0,0,1
304,2020-02-08,法国,,,11,0,0,0
305,2020-02-08,俄罗斯,,,2,0,0,0
306,2020-02-08,德国,,,13,0,0,0
307,2020-02-08,比利时,,,1,0,0,0
308,2020-02-08,澳大利亚,,,15,0,3,0
309,2020-02-08,阿联酋,,,7,0,0,0
310,2020-02-08,日本,,,25,0,1,0
311,2020-02-09,中国,,,40224,23589,3283,909
312,2020-02-09,越南,,,14,0,3,0
313,2020-02-09,英国,,,4,0,0,0
314,2020-02-09,印度,,,3,0,0,0
315,2020-02-09,意大利,,,3,0,0,0
316,2020-02-09,新加坡,,,43,0,2,0
317,2020-02-09,西班牙,,,2,0,0,0
318,2020-02-09,泰国,,,32,0,8,0
319,2020-02-09,斯里兰卡,,,1,0,1,0
320,2020-02-09,瑞典,,,1,0,0,0
321,2020-02-09,尼泊尔,,,1,0,0,0
322,2020-02-09,美国,,,12,0,3,0
323,2020-02-09,马来西亚,,,17,0,2,0
324,2020-02-09,柬埔寨,,,1,0,0,0
325,2020-02-09,加拿大,,,7,0,1,0
326,2020-02-09,韩国,,,27,0,3,0
327,2020-02-09,芬兰,,,1,0,1,0
328,2020-02-09,菲律宾,,,3,0,0,1
329,2020-02-09,法国,,,11,0,0,0
330,2020-02-09,俄罗斯,,,2,0,0,0
331,2020-02-09,德国,,,14,0,0,0
332,2020-02-09,比利时,,,1,0,0,0
333,2020-02-09,澳大利亚,,,15,0,3,0
334,2020-02-09,阿联酋,,,7,0,0,0
335,2020-02-09,日本,,,26,0,1,0
336,2020-02-10,中国,,,42708,21675,3998,1017
337,2020-02-10,越南,,,14,0,3,0
338,2020-02-10,英国,,,8,0,0,0
339,2020-02-10,印度,,,3,0,0,0
340,2020-02-10,意大利,,,3,0,0,0
341,2020-02-10,新加坡,,,45,0,7,0
342,2020-02-10,西班牙,,,2,0,0,0
343,2020-02-10,泰国,,,32,0,8,0
344,2020-02-10,斯里兰卡,,,1,0,1,0
345,2020-02-10,瑞典,,,1,0,0,0
346,2020-02-10,尼泊尔,,,1,0,0,0
347,2020-02-10,美国,,,12,0,3,0
348,2020-02-10,马来西亚,,,18,0,2,0
