id,code,name,series,provinces,isTreatingNumClear,updateTime,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
MAF,1663000,圣马丁,,,False,1584667575,2,0,0,0,2
HTI,1332000,海地,,,False,1584667575,2,0,0,0,2
GTM,1320000,危地马拉,,,False,1584667575,2,0,0,1,1
JEY,1832000,泽西岛,,,False,1584667575,2,0,0,0,2
ZMB,1894000,赞比亚,,,False,1584667575,2,0,0,0,2
SUR,1740000,苏里南,,,False,1584667575,2,0,0,0,2
LBR,1430000,利比里亚,,,False,1584667575,2,0,0,0,2
BEN,1204000,贝宁,,,False,1584667575,2,0,0,0,2
BRB,1052000,巴巴多斯,,,False,1584667575,2,0,0,0,2
VIR,1850000,美属维尔京群岛,,,False,1584667575,2,0,0,0,2
LCA,1662000,圣卢西亚,,,False,1584667575,2,0,0,0,2
NAM,1516000,纳米比亚,,,False,1584667575,2,0,0,0,2
SDN,1736000,苏丹,,,False,1584667575,2,0,0,1,1
NPL,1524000,尼泊尔,,,False,1584667575,1,0,1,0,0
BTN,1064000,不丹,,,False,1584667575,1,0,0,0,1
VAT,1336000,梵蒂冈,,,False,1584667575,1,0,0,0,1
GGY,1831000,格恩西岛,,,False,1584667575,1,0,0,0,1
PYF,1258000,法属波利尼西亚,,,False,1584667575,1,0,0,0,1
GIN,1324000,几内亚,,,False,1584667575,1,0,0,0,1
ATG,1028000,安提瓜和巴布达,,,False,1584667575,1,0,0,0,1
VCT,1670000,圣文森特和格林纳丁斯,,,False,1584667575,1,0,0,0,1
MRT,1478000,毛利塔尼亚,,,False,1584667575,1,0,0,0,1
SWZ,1748000,斯威士兰,,,False,1584667575,1,0,0,0,1
TCD,1148000,乍得,,,False,1584667575,1,0,0,0,1
CAF,1140000,中非,,,False,1584667575,1,0,0,0,1
BHS,1044000,巴哈马,,,False,1584667575,1,0,0,0,1
SOM,1706000,索马里,,,False,1584667575,1,0,0,0,1
GRL,1304000,格陵兰,,,False,1584667575,1,0,0,0,1
GMB,1270000,冈比亚,,,False,1584667575,1,0,0,0,1
DJI,1262000,吉布提,,,False,1584667575,1,0,0,0,1
SLV,1222000,萨尔瓦多,,,False,1584667575,1,0,0,0,1
FJI,1242000,斐济,,,False,1584667575,1,0,0,0,1
NER,1562000,尼日尔,,,False,1584667575,1,0,0,0,1
CYM,1136000,开曼群岛,,,False,1584667575,1,0,0,1,0
